Name,Description,Logo URL,Search URL
10-гпз,"В это время велось интенсивное освоение производственных мощностей, строительство объектов социальной сферы, получило развитие подсобное сельское хозяйство.

В сентябре 1987 года ГПЗ-10 реорганизован в производственное объединение ГПЗ-10, а в августе 1993 года предприятие было акционировано.

Партнерами 10-ГПЗ являются такие крупнейшие предприятия и фирмы как: АВТОВАЗ, ОАО «ГАЗ», ОАО «КАМАЗ», Автомобильный завод «Урал», Минский автомобильный завод, ОАО «УАЗ», Заволжский моторный завод и другие.

Применение современных технологий конструкций, квалифицированный персонал, четкое реагирование на меняющиеся требования потребителей позволяют выпускать продукцию высокого качества и удовлетворять потребности потребителей нашей продукции наиболее полным образом.

В настоящее время ОАО «10-ГПЗ» - многопрофильное предприятие. Успешно развивается собственное станкостроение для обеспечения нужд предприятия в оборудовании, освоении новых видов продукции и новых производств.

Перспективы развития ОАО «10-ГПЗ» - дальнейшее наращивание объемов производства за счет расширения выпуска новой продукции, создания новых производств, увеличения рабочих мест, снижения затрат, модернизации и реновации оборудования, обеспечении конкурентоспособности и качества выпускаемой продукции.

Одним из приоритетных направлений политики предприятия является политика в области качества. Применение современных технологий конструкций, квалифицированный персонал, оперативное реагирование на меняющиеся требования потребителей позволяют выпускать продукцию высокого качества и удовлетворять потребности потребителей наиболее полным образом. Система качества предприятия соответствует требованиям международных стандартов ISO 9001 : 2008.

Продукция предприятия 10-ГПЗ соответствует международным стандартам качества и применяется не только на отечественных предприятиях, но в мировой промышленности. Собственное конструкторское бюро и современное производственное оборудование позволяет расширять ассортимент продукции, удовлетворяющей современным потребностям рынка. Производственные мощности и опыт наших сотрудников обеспечивают выпуск продукции по качеству соответствующей общепризнанным мировым маркам, таким как: SKF (Швеция), FAG (Германия), KOYO (Япония), TIMKEN (США). Система качества предприятия соответствует требованиям международных стандартов ИСО серии 9000.

Завод имеет все необходимые инфраструктуры: железнодорожные и автомобильные подъезды, линии электропередач, очистные сооружения, водоканализационные и тепловые сети. Выгодное расположение завода 10-ГПЗ и конкурентоспособные цены на продукцию обеспечивают надёжные и выгодные решения каждому клиенту в условиях необходимости импортозамещения.

Подшипники роликовые однорядные с короткими цилиндрическими роликами.
Подшипники роликовые однорядные с короткими цилиндрическими роликами без сепараторов с полным заполнением с запорными шайбами.
Подшипники роликовые однорядные с короткими цилиндрическими роликами без внутреннего кольца.
Подшипники роликовые однорядные с короткими цилиндрическими роликами с канавкой на наружном кольце.
Подшипники роликовые однорядные с короткими цилиндрическими роликами с крепежным отверстием на наружном кольце.
Подшипники роликовые однорядные с короткими цилиндрическими роликами без наружного кольца.
Подшипники роликовые двухрядные с короткими цилиндрическими роликами со сферической поверхностью наружного кольца, закрытый со смазкой.
Подшипники роликовые двухрядные с короткими цилиндрическими роликами со сферической поверхностью наружного кольца, с полным заполнением.
Подшипники роликовые специальные.
Подшипники роликовые конические.
Подшипники роликовые игольчатые.
Подшипники роликовые игольчатые бесколечные.
Подшипники роликовые игольчатые однорядные.

Подшипники 10-ГПЗ. Подшипники роликовые однорядные с короткими цилиндрическими роликами. Подшипники роликовые однорядные с короткими цилиндрическими роликами без сепараторов с полным заполнением с запорными шайбами. Подшипники роликовые однорядные с короткими цилиндрическими роликами без внутреннего кольца. Подшипники роликовые однорядные с короткими цилиндрическими роликами с канавкой на наружном кольце. Подшипники роликовые однорядные с короткими цилиндрическими роликами с крепежным отверстием на наружном кольце. Подшипники роликовые однорядные с короткими цилиндрическими роликами без наружного кольца. Подшипники роликовые двухрядные с короткими цилиндрическими роликами со сферической поверхностью наружного кольца, закрытый со смазкой. Подшипники роликовые двухрядные с короткими цилиндрическими роликами со сферической поверхностью наружного кольца, с полным заполнением. Подшипники роликовые специальные. Подшипники роликовые конические. Подшипники роликовые игольчатые. Подшипники роликовые игольчатые бесколечные. Подшипники роликовые игольчатые однорядные.10,4Mb - язык: русский,английский

Подшипники (ГОСТ, импорт, высокоточные, высокотемпературные):SKF,FAG,NSK,KOYO,SNR,INA,ISB,MTM,CX,ASAHI,TIMKEN, FERSA, NTN, Nachi, FBJ, BBC-R,ZKL, CRAFT,ГПЗ, АПП, РВЗ, Волжский стандарт, МПЗ, 1-ГП3, ГПЗ-2,",https://aprom.by/images/logo_10-гпз.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=10-гпз
AAA,"Предприятие Zhangjiagang AAA Bearing Cо.  расположено на стороне реки Янцзы. Именно около Чжанцзягана у Международной Зоны свободной торговли  что дает удобное географическое положение и выгодное экономическое преимущество.

Zhangjiagang AAA Bearing Cо. была организована в 1968 г., и   выпускает подшипники для сельхозмашиностроения и строительной техники (около 70%), станкостроения (10%), нефтедобывающей промышленности (10%) и производства мотоциклов. 20% продукции идет на экспорт в Европу, 80% - на внутренний рынок. Численность работников - 1200 чел. Годовой оборот - 300 млн юаней (около $37,5 млн).

Посредством модернизированного научного менеджмента проводится  реформа технологии производства и ситемы продаж. Это подтвержено сертификатом о Международной Качественной Системе ISO 9002 в 1997. Предприятие было награждено ""Фирменным знаком ЦЗЯНСУ - JIANGSU Name Brand"" о  Совершенствовании Система Инспекционного Измерения и Теста в 2002.",https://aprom.by/images/logo_aaa.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=AAA
ABBA,"Компания ABBA Linear Tech Co., LTD., основанная в 1999 году, была первым профессиональным производителем линейных направляющих на Тайване, внедрившим в массовое производство четырехрядные линейные направляющие с патентованной технологией самосмазки. Компания ABBA всегда сосредоточена на разработке и развитиии инновационных продуктов. Поскольку ABBA обладает важнейшими технологиями в различных отраслях, ее доля на мировом рынке увеличивается с каждым годом. ABBA стала всемирно известным брендом систем линейного перемещения. И технологии, и качество всегда находятся на переднем крае отрасли.

В 2007 году ABBA присоединилась к группе SKF и стала частью бизнес-направления SKF Motion Technologies. Компания ABBA продемонстрировала огромный потенциал мирового производства, связавшись с другими мировыми профессиональными заводами систем линейного перемещения. Для достижения максимальной производительности ABBA продолжает расширять технологическое оборудование, чтобы быть в состоянии удовлетворить мировой спрос.

Благодаря профессиональной технологии производства Linear Guide в течение 20 лет, стабильному качеству продукции и отличной производственной среде компания ABBA продолжает стабильно развиваться. 

сайт    Тайвань

Основной каталог систем линейного перемещения ABBA. Linear Motion Technology. An SKF Group brand. 13Mb - язык: английский",https://aprom.by/images/logo_abba.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ABBA
ABC,,https://aprom.by/images/logo_abc.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ABC
AKE,"Ассортимент продукции, также позволяет  позиционировать себя, как поставщика закрывающего основные потребности многих потребителей.

Гарантийные обязательства качества продукции и повышение доверия потребителя  к производителю подчеркивает сертификация   по требованиям ISO 9001: 2000

Шарикоподшипники
Однорядные радиальные шарикоподшипники
Однорядные радиально-упорные шарикоподшипники
Двухрядные радиально-упорные шарикоподшипники
Специальные подшипники
Специальные однорядные шарикоподшипники
Одиночные подшипники однорядные с многоточечным   контактом и разъемным внутренним кольцом
Специальные подшипники однорядные шариковые PLC
Специальные однорядные шариковые подшипники LGVZ
Специальные цилиндрические роликоподшипники однорядные
Специальные роликовые однорядные  цилиндрические подшипники VL
Специальные подшипники с цилиндрическими роликами многорядные
Специальные цилиндрические роликовые подшипники PLC
Конические роликоподшипники
Сферические роликоподшипники
Высокоточные станочные подшипники

Специальные подшипники качения мелкосерийного производства для авиастроения, станкостроения,  турбокомпрессоров, текстильной промышленности, автомобильной и тракторной промышленности и другой специальной техники.

Сегодня производственные и административнык ресурсы сосредоточены на заводе AKE Скалица Ltd. - в бывшем заводе ZVL Скалица.
 
сайт  Словакия",https://aprom.by/images/logo_ake.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=AKE
ALWAYSE,"ALWAYSE - компания была основана в 1939 году в в Бирмингеме, Великобритания. В настоящий момент компания является ведущим производителем шариковых опор всех типов на мировом рынке. В компании работает более 70 человек в производственных и офисных объектах. Более 70% продукции экспортируется в более 60 стран мира, что помогло компании быть удостоенной королевской награды за предпринимательство в международной торговле.

Шариковые и роликовые опоры Alwayse используются во всех отраслях промышленности во всем мире. Каждый год продается более 2 миллионов изделий каждый год. Компания подтверждает качество своей продукции сертификатом ISO 9001.

сайт  Великобритания",https://aprom.by/images/logo_alwayse.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ALWAYSE
APB,"Цилиндрические бессепараторные роликоподшипники APB - серия - NCF18xx.V, NCF22xx.V, NCF29xx.V, NCF30xx.V, NJG23xx.V, NNC48xx.V, NNC49xx.V, NNCF50xx.V,  NNF50xx.A.2LSV/NNF 1xx & 2xx.A.2LS.V, 811xx, 812xx.24,3Mb - язык: английский, немецкий

Подшипники APB для станкостроения  -серия AXZF.xxxx.TN / AXZF.xxxx.L.TN, AXZNxxx.TN / AXZNxxx.L.TN,AXSF, AXSN, AXRY, -   серия ZARN, ZARF, ZKLF, ZKLN.19,3Mb - язык: английский, немецкий",https://aprom.by/images/logo_apb.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=APB
APP-GROUP,"Подшипники производства стран Юго-Восточной Азии, изготавливающими продукцию под брендом «АПП групп»

- торговая марка принадлежащая группе компаний ГК «Baltic Bearing Company» (бренды:

,
,
,
,

)

Подшипники SKF, FAG, INA, SNR, KYK, NTN, NACHI, ITJ, ZKL, URB, BCR, ZWZ, Cамарский подшипник, FBC, АПП, РВЗ. Сальники. Ремни RUBYCON (Ярославль), Китай, премиум. Авторизованный дилер KYK Beаrings (Osaka, Japan) – подшипники. Официальный дистрибьютор ITJ BEARINGS,LTD (Japan) - подшипники. Официальный партнер BCR (Чехия) - подшипник. Авторизованный cубдилер MONTON. Официальный дилер ИПК. Официальный партнер",https://aprom.by/images/logo_app-group.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=APP-GROUP
APROM,,https://aprom.by/images/logo_aprom.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=APROM
ARB,"Официальный дистрибьютор KOYO (Япония), APP-Group. Официальный дилер ГПЗ, ООО ГПЗ, Россия. Подшипники KOYO, APP-Group, ГПЗ, CRAFT, USN, DPI,",https://aprom.by/images/logo_arb.jpg,https://aprom.by/cgi-bin/findfirm.pl?words=ARB
